               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095516,            0.025935,            0.052682,             0.72488,             0.11021,            0.076608,            0.025994,            0.076389,             0.01249,            0.039882,            0.070612,           0.0032653,           0.0032653
                   1,            0.068598,            0.023944,            0.030219,             0.74302,             0.15405,             0.14321,            0.054813,             0.07109,           0.0096623,            0.024677,             0.04059,           0.0065769,           0.0065769
                   2,            0.066067,              0.0217,            0.022575,             0.61584,             0.26753,             0.16989,            0.058628,            0.066052,           0.0091222,             0.02037,            0.010547,           0.0098664,           0.0098664
                   3,            0.060278,             0.01973,            0.018141,             0.47717,             0.32696,             0.22685,            0.088084,            0.061017,           0.0088944,            0.015491,            0.009901,            0.009901,            0.009901
                   4,            0.055624,            0.018969,            0.015724,             0.30717,             0.33175,             0.20755,            0.083994,            0.058239,           0.0088312,            0.012722,            0.009901,            0.009901,            0.009901
                   5,            0.053328,            0.018924,            0.014246,             0.40985,              0.3715,             0.30137,             0.14714,            0.053905,           0.0083869,            0.012021,            0.009868,            0.009868,            0.009868
                   6,            0.051905,            0.018863,            0.013195,             0.50557,             0.34513,             0.29184,              0.1315,            0.051703,           0.0091931,            0.012623,            0.009835,            0.009835,            0.009835
                   7,            0.050519,            0.018209,            0.012465,             0.55861,             0.35023,             0.31038,              0.1388,            0.052194,            0.008726,            0.013639,            0.009802,            0.009802,            0.009802
                   8,            0.049403,            0.018928,            0.011643,             0.46668,             0.37133,             0.31873,              0.1395,            0.051733,           0.0088782,            0.010329,            0.009769,            0.009769,            0.009769
                   9,            0.049379,            0.018694,              0.0122,              0.4346,             0.40731,             0.30936,             0.13862,            0.050455,           0.0090381,             0.01656,            0.009736,            0.009736,            0.009736
                  10,            0.048201,            0.018101,            0.012148,             0.50108,             0.41712,              0.3472,             0.16157,            0.048818,           0.0081726,           0.0097516,            0.009703,            0.009703,            0.009703
                  11,            0.046405,            0.017942,            0.011083,             0.51414,             0.42508,             0.34974,             0.16629,            0.049643,           0.0080309,           0.0092512,             0.00967,             0.00967,             0.00967
                  12,             0.04728,            0.018252,            0.011189,             0.52263,             0.43576,             0.39333,             0.20592,            0.045227,            0.007897,           0.0088617,            0.009637,            0.009637,            0.009637
                  13,            0.046434,            0.018023,            0.010484,             0.55496,             0.38651,             0.38194,             0.18688,            0.046108,            0.008131,           0.0092716,            0.009604,            0.009604,            0.009604
                  14,            0.045513,            0.018156,            0.010667,             0.52241,             0.39507,              0.3599,             0.17204,            0.049811,           0.0086095,           0.0099033,            0.009571,            0.009571,            0.009571
                  15,            0.045401,            0.017925,            0.010581,             0.60783,             0.44368,             0.43663,             0.21665,            0.045101,            0.007791,           0.0089195,            0.009538,            0.009538,            0.009538
                  16,            0.044408,            0.017541,            0.009617,             0.57111,             0.44927,             0.43298,             0.22769,            0.044998,           0.0076715,           0.0098844,            0.009505,            0.009505,            0.009505
                  17,            0.043705,            0.017451,            0.009379,             0.62391,             0.44851,             0.45209,             0.24033,            0.045859,           0.0080066,            0.008934,            0.009472,            0.009472,            0.009472
                  18,             0.04243,            0.017626,            0.009754,             0.61023,              0.4041,             0.40546,             0.21336,            0.046679,           0.0080246,           0.0084609,            0.009439,            0.009439,            0.009439
                  19,            0.043064,            0.017762,           0.0095882,             0.39524,             0.48198,             0.39928,             0.20023,            0.047241,           0.0080216,            0.011132,            0.009406,            0.009406,            0.009406
                  20,            0.042359,            0.017331,           0.0094301,             0.42755,             0.53115,             0.42732,             0.23684,            0.043763,           0.0078713,           0.0091042,            0.009373,            0.009373,            0.009373
                  21,            0.042611,            0.016965,           0.0090398,             0.61177,             0.45776,             0.45679,             0.23864,             0.04402,            0.007469,            0.008752,             0.00934,             0.00934,             0.00934
                  22,            0.042247,             0.01723,           0.0090791,             0.52605,             0.51879,             0.44997,             0.24286,            0.044258,           0.0075078,           0.0083875,            0.009307,            0.009307,            0.009307
                  23,            0.041564,            0.017142,           0.0097124,             0.52469,             0.51675,             0.46108,             0.24054,            0.044288,           0.0076791,           0.0073047,            0.009274,            0.009274,            0.009274
                  24,            0.041656,            0.017114,           0.0090747,              0.4681,             0.49689,             0.43541,             0.23718,            0.043672,           0.0075548,            0.007594,            0.009241,            0.009241,            0.009241
                  25,            0.040639,            0.016455,           0.0084832,             0.48176,             0.52006,             0.46095,             0.24998,            0.044418,            0.007653,            0.007989,            0.009208,            0.009208,            0.009208
                  26,            0.040784,            0.017057,           0.0080276,             0.51885,             0.55502,             0.47769,             0.26087,            0.042618,           0.0072834,           0.0082229,            0.009175,            0.009175,            0.009175
                  27,            0.040075,            0.016443,           0.0073549,             0.52425,             0.54832,             0.49855,             0.27562,            0.043479,           0.0075257,           0.0075536,            0.009142,            0.009142,            0.009142
                  28,            0.040096,            0.016435,           0.0077855,              0.5163,             0.51161,             0.47889,             0.26626,            0.042615,           0.0074105,           0.0071467,            0.009109,            0.009109,            0.009109
                  29,            0.039351,            0.016754,           0.0075873,             0.53047,             0.50304,             0.46375,             0.25166,            0.043611,           0.0074534,           0.0082535,            0.009076,            0.009076,            0.009076
                  30,            0.038764,            0.016237,           0.0074637,             0.53516,             0.57427,             0.49081,              0.2715,            0.040952,           0.0074699,           0.0069698,            0.009043,            0.009043,            0.009043
                  31,            0.039157,             0.01624,           0.0077517,             0.52892,             0.52937,             0.47454,             0.27587,            0.042378,           0.0073488,           0.0086555,             0.00901,             0.00901,             0.00901
                  32,            0.038738,             0.01623,           0.0075752,             0.60253,             0.46746,             0.44586,             0.25003,            0.042878,           0.0075782,            0.007499,            0.008977,            0.008977,            0.008977
                  33,            0.037852,            0.016148,           0.0072826,             0.49973,             0.53488,              0.4837,             0.26378,            0.041561,           0.0074491,           0.0084084,            0.008944,            0.008944,            0.008944
                  34,            0.037423,            0.015747,           0.0076281,             0.52242,             0.51404,             0.47516,             0.26197,            0.041625,           0.0072883,           0.0069464,            0.008911,            0.008911,            0.008911
                  35,            0.038455,            0.015643,           0.0078052,              0.5454,             0.53369,             0.47791,              0.2546,            0.041908,           0.0075021,           0.0077333,            0.008878,            0.008878,            0.008878
                  36,            0.036963,            0.016022,           0.0063454,             0.55787,             0.54054,             0.49619,             0.26459,            0.041636,           0.0073542,           0.0070949,            0.008845,            0.008845,            0.008845
                  37,            0.037389,             0.01571,           0.0069712,             0.57165,             0.53737,             0.50003,             0.28668,            0.041487,           0.0072697,           0.0079324,            0.008812,            0.008812,            0.008812
                  38,            0.037472,            0.015454,           0.0073684,              0.5454,             0.53259,             0.49191,             0.27711,            0.041031,           0.0075501,           0.0079743,            0.008779,            0.008779,            0.008779
                  39,            0.037858,            0.015722,           0.0077008,             0.58854,               0.527,             0.51313,             0.28735,            0.040608,           0.0074601,           0.0080965,            0.008746,            0.008746,            0.008746
                  40,            0.037187,            0.015785,           0.0067183,             0.62805,             0.48304,             0.49781,             0.28253,            0.041953,           0.0073409,           0.0074634,            0.008713,            0.008713,            0.008713
                  41,            0.035762,            0.015541,           0.0071235,             0.50103,             0.53175,              0.4987,             0.27924,            0.040419,           0.0074988,           0.0074469,             0.00868,             0.00868,             0.00868
                  42,            0.035775,            0.015778,           0.0068616,             0.53238,             0.55221,             0.50863,             0.28627,            0.041343,           0.0074085,           0.0070942,            0.008647,            0.008647,            0.008647
                  43,            0.037111,            0.015415,           0.0068426,             0.64085,             0.48724,             0.48518,             0.27475,            0.041744,           0.0076746,           0.0077815,            0.008614,            0.008614,            0.008614
                  44,            0.036669,            0.015893,           0.0064148,             0.56174,             0.53197,              0.5046,             0.28661,            0.041245,           0.0074014,           0.0074484,            0.008581,            0.008581,            0.008581
                  45,            0.036076,            0.015101,           0.0065169,             0.57477,             0.49534,             0.48758,             0.26301,            0.043326,           0.0075407,           0.0066246,            0.008548,            0.008548,            0.008548
                  46,            0.035862,            0.015411,           0.0067426,             0.55146,             0.52424,             0.49707,             0.28068,            0.042602,           0.0075491,           0.0079647,            0.008515,            0.008515,            0.008515
                  47,            0.035438,            0.015783,           0.0062362,             0.56487,             0.54611,             0.48559,             0.27044,             0.04098,            0.007624,            0.007918,            0.008482,            0.008482,            0.008482
                  48,            0.035828,            0.015457,           0.0068851,             0.55989,             0.54029,             0.48643,             0.27983,            0.040952,           0.0075279,           0.0082236,            0.008449,            0.008449,            0.008449
                  49,            0.035568,            0.014904,            0.006742,             0.55898,             0.50698,             0.48838,             0.27945,            0.041898,           0.0078723,           0.0086166,            0.008416,            0.008416,            0.008416
                  50,            0.035991,            0.015362,           0.0065857,             0.54081,             0.51287,             0.50637,             0.28498,             0.04105,           0.0073641,           0.0074328,            0.008383,            0.008383,            0.008383
                  51,            0.035273,            0.015369,           0.0060875,             0.52308,             0.54058,             0.49099,             0.27426,            0.041313,           0.0074713,           0.0077753,             0.00835,             0.00835,             0.00835
                  52,            0.035129,            0.015426,           0.0064702,              0.5271,             0.50605,             0.47627,             0.28006,            0.039511,           0.0073815,           0.0074239,            0.008317,            0.008317,            0.008317
                  53,             0.03511,            0.015311,           0.0064497,             0.49969,             0.53254,             0.48082,             0.25852,             0.04192,           0.0078191,           0.0077253,            0.008284,            0.008284,            0.008284
                  54,            0.034831,            0.014792,           0.0058681,             0.60674,             0.55173,             0.51406,             0.29841,            0.040454,           0.0074145,           0.0072593,            0.008251,            0.008251,            0.008251
                  55,            0.035257,            0.014721,           0.0064275,             0.62861,             0.47644,             0.52108,             0.29968,            0.041173,           0.0073361,           0.0071591,            0.008218,            0.008218,            0.008218
                  56,            0.034654,            0.015061,           0.0056139,             0.51234,              0.5352,             0.48293,             0.26807,            0.041894,           0.0079693,           0.0071348,            0.008185,            0.008185,            0.008185
                  57,             0.03438,             0.01475,           0.0063614,             0.61124,             0.49929,             0.51133,             0.29672,            0.041073,           0.0075013,            0.007566,            0.008152,            0.008152,            0.008152
                  58,            0.034441,            0.015165,           0.0059185,             0.50018,             0.55926,             0.50062,             0.29284,            0.039816,           0.0073174,           0.0074914,            0.008119,            0.008119,            0.008119
                  59,            0.034872,            0.015242,            0.006227,             0.56691,             0.53454,              0.5257,             0.31148,            0.040641,           0.0075214,           0.0077459,            0.008086,            0.008086,            0.008086
                  60,            0.034465,            0.014599,           0.0061095,              0.4819,             0.56417,             0.48459,             0.28038,            0.040541,            0.007739,           0.0081856,            0.008053,            0.008053,            0.008053
                  61,            0.034341,            0.014979,           0.0054873,             0.51325,             0.50601,             0.45744,             0.26342,             0.04228,           0.0081728,           0.0076642,             0.00802,             0.00802,             0.00802
                  62,            0.033762,             0.01506,           0.0054241,             0.61048,             0.53547,             0.51848,             0.30217,             0.04059,           0.0077976,            0.008125,            0.007987,            0.007987,            0.007987
                  63,            0.032467,            0.014287,           0.0051055,             0.59901,             0.57424,             0.52954,             0.30267,            0.040124,           0.0075525,           0.0073243,            0.007954,            0.007954,            0.007954
                  64,            0.033218,            0.014052,           0.0050192,             0.62454,             0.53799,             0.51593,             0.29939,             0.03982,           0.0076615,           0.0070055,            0.007921,            0.007921,            0.007921
                  65,            0.032938,            0.014631,           0.0053177,             0.62273,             0.50132,             0.51132,             0.29047,            0.040671,           0.0078671,           0.0079256,            0.007888,            0.007888,            0.007888
