               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0632,            0.022649,            0.031884,             0.43129,             0.55843,             0.54025,             0.26189,            0.052378,           0.0098057,            0.011759,            0.070033,           0.0033296,           0.0033296
                   1,            0.047934,            0.017353,            0.010488,             0.81244,             0.57193,             0.68315,             0.30689,            0.044122,           0.0090218,           0.0049639,             0.03993,           0.0065599,           0.0065599
                   2,            0.045912,            0.017374,           0.0085434,             0.81943,             0.48823,             0.60237,             0.28019,            0.050332,            0.010803,            0.012974,           0.0097241,            0.009687,            0.009687
                   3,            0.044615,             0.01756,           0.0080843,             0.58412,             0.74875,             0.68659,             0.35337,            0.048155,           0.0088902,           0.0037665,           0.0095359,           0.0095359,           0.0095359
                   4,            0.041024,            0.016551,           0.0064004,             0.69709,              0.7488,             0.80664,             0.44356,            0.043599,            0.008503,           0.0024247,           0.0095359,           0.0095359,           0.0095359
                   5,            0.039527,            0.016123,           0.0059321,             0.68094,             0.74143,             0.78811,             0.44705,            0.043024,           0.0092735,           0.0030704,           0.0093813,           0.0093813,           0.0093813
                   6,            0.037983,            0.015682,           0.0050508,             0.76639,             0.78344,             0.77481,             0.42468,            0.041963,           0.0083036,           0.0023432,           0.0092266,           0.0092266,           0.0092266
                   7,            0.036941,            0.015333,           0.0047306,             0.68131,             0.73695,             0.81918,             0.51038,            0.040486,           0.0080643,           0.0030336,           0.0090719,           0.0090719,           0.0090719
                   8,            0.035989,            0.014973,           0.0044578,             0.73409,             0.75116,             0.75545,             0.43727,             0.03931,           0.0080643,           0.0022926,           0.0089172,           0.0089172,           0.0089172
                   9,             0.03542,             0.01485,           0.0043443,             0.85192,             0.68271,             0.85557,             0.47237,            0.040469,           0.0081091,           0.0025301,           0.0087625,           0.0087625,           0.0087625
                  10,            0.034719,            0.014587,           0.0041158,             0.86081,             0.67905,             0.83422,             0.55732,            0.036871,           0.0083923,           0.0029593,           0.0086078,           0.0086078,           0.0086078
                  11,            0.034139,            0.014451,           0.0040197,             0.78913,             0.74036,             0.83474,             0.53236,            0.036354,           0.0080109,           0.0019083,           0.0084531,           0.0084531,           0.0084531
